nll,pi_aa,pi_cc,pi_gg,pi_tt,pi_ac,pi_ag,pi_at,pi_cg,pi_ct,pi_gt,"q_{1,2}","q_{1,3}","q_{1,4}","q_{1,5}","q_{1,6}","q_{1,7}","q_{1,8}","q_{1,9}","q_{1,10}","q_{2,3}","q_{2,4}","q_{2,5}","q_{2,6}","q_{2,7}","q_{2,8}","q_{2,9}","q_{2,10}","q_{3,4}","q_{3,5}","q_{3,6}","q_{3,7}","q_{3,8}","q_{3,9}","q_{3,10}","q_{4,5}","q_{4,6}","q_{4,7}","q_{4,8}","q_{4,9}","q_{4,10}","q_{5,6}","q_{5,7}","q_{5,8}","q_{5,9}","q_{5,10}","q_{6,7}","q_{6,8}","q_{6,9}","q_{6,10}","q_{7,8}","q_{7,9}","q_{7,10}","q_{8,9}","q_{8,10}","q_{9,10}"
-2582.374613,0.095543,0.04194,0.044705,0.085864,0.120342,0.130433,0.169237,0.086199,0.104519,0.121218,0.001,0.001,0.001,8.719819,0.001,9.153995,0.001,0.001,0.001,0.001,0.001,8.719819,0.001,0.001,1.0,6.511676,0.001,0.001,0.001,0.001,0.001,1.0,0.001,3.067798,0.001,0.001,9.153995,0.001,6.511676,3.067798,1.0,6.511676,0.001,9.153995,0.001,3.067798,8.719819,0.001,9.153995,0.001,8.719819,0.001,3.067798,6.511676,1.0
-2618.677643,0.10369,0.049513,0.021818,0.091787,0.12162,0.132026,0.169864,0.096826,0.108618,0.104238,0.001,0.001,0.001,1.154187,0.250072,3.270654,0.001,0.001,0.001,0.001,0.001,1.154187,0.001,0.001,1.0,4.256617,0.001,0.001,0.001,0.250072,0.001,1.0,0.001,0.517504,0.001,0.001,3.270654,0.001,4.256617,0.517504,1.0,4.256617,0.250072,3.270654,0.001,0.517504,1.154187,0.001,3.270654,0.001,1.154187,0.250072,0.517504,4.256617,1.0
-2555.211152,0.068358,0.046878,0.048765,0.084433,0.122852,0.119287,0.190397,0.081975,0.121854,0.115201,0.001,0.001,0.001,1.814923,0.001,3.825194,0.001,0.001,0.001,0.001,0.001,1.814923,0.001,0.001,1.0,2.265342,0.001,0.001,0.001,0.001,0.001,1.0,0.001,0.254783,0.001,0.001,3.825194,0.001,2.265342,0.254783,1.0,2.265342,0.001,3.825194,0.001,0.254783,1.814923,0.001,3.825194,0.001,1.814923,0.001,0.254783,2.265342,1.0
-2637.405854,0.090943,0.038862,0.048715,0.088232,0.125411,0.113144,0.165398,0.08554,0.102807,0.140949,0.001,0.001,0.001,3.386126,0.001,11.848851,0.001,0.001,0.001,0.001,0.001,3.386126,0.001,0.001,1.0,15.821433,0.001,0.001,0.001,0.001,0.001,1.0,0.001,2.325777,0.001,0.001,11.848851,0.001,15.821433,2.325777,1.0,15.821433,0.001,11.848851,0.001,2.325777,3.386126,0.001,11.848851,0.001,3.386126,0.001,2.325777,15.821433,1.0
-2602.649429,0.079542,0.04104,0.041562,0.100537,0.107718,0.121494,0.1539,0.094095,0.126714,0.133398,0.001,0.001,0.001,1.151748,0.277661,3.938002,0.001,0.001,0.001,0.001,0.001,1.151748,0.001,0.001,1.0,2.945924,0.001,0.001,0.001,0.277661,0.001,1.0,0.001,1.018507,0.001,0.001,3.938002,0.001,2.945924,1.018507,1.0,2.945924,0.277661,3.938002,0.001,1.018507,1.151748,0.001,3.938002,0.001,1.151748,0.277661,1.018507,2.945924,1.0
-2679.385688,0.074974,0.039867,0.054447,0.09954,0.108928,0.134712,0.175872,0.081712,0.103571,0.126376,0.001,0.001,0.001,1.140225,0.485616,4.232275,0.001,0.001,0.001,0.001,0.001,1.140225,0.001,0.001,1.0,4.588863,0.001,0.001,0.001,0.485616,0.001,1.0,0.001,0.68836,0.001,0.001,4.232275,0.001,4.588863,0.68836,1.0,4.588863,0.485616,4.232275,0.001,0.68836,1.140225,0.001,4.232275,0.001,1.140225,0.485616,0.68836,4.588863,1.0
-2667.47744,0.090964,0.046798,0.035428,0.09784,0.104098,0.119638,0.145941,0.093636,0.133595,0.132062,0.001,0.001,0.001,0.627199,0.431246,3.502227,0.001,0.001,0.001,0.001,0.001,0.627199,0.001,0.001,1.0,2.427879,0.001,0.001,0.001,0.431246,0.001,1.0,0.001,1.207249,0.001,0.001,3.502227,0.001,2.427879,1.207249,1.0,2.427879,0.431246,3.502227,0.001,1.207249,0.627199,0.001,3.502227,0.001,0.627199,0.431246,1.207249,2.427879,1.0
-2576.420166,0.076435,0.033225,0.040668,0.099516,0.132815,0.112104,0.170583,0.076631,0.119921,0.138102,0.001,0.001,0.001,4.317087,0.800867,10.990744,0.001,0.001,0.001,0.001,0.001,4.317087,0.001,0.001,1.0,9.162276,0.001,0.001,0.001,0.800867,0.001,1.0,0.001,3.13831,0.001,0.001,10.990744,0.001,9.162276,3.13831,1.0,9.162276,0.800867,10.990744,0.001,3.13831,4.317087,0.001,10.990744,0.001,4.317087,0.800867,3.13831,9.162276,1.0
-2505.393043,0.102487,0.043305,0.040776,0.094416,0.11263,0.109393,0.17561,0.090282,0.110833,0.120268,0.001,0.001,0.001,0.360963,0.001,4.434096,0.001,0.001,0.001,0.001,0.001,0.360963,0.001,0.001,1.0,3.641048,0.001,0.001,0.001,0.001,0.001,1.0,0.001,0.733879,0.001,0.001,4.434096,0.001,3.641048,0.733879,1.0,3.641048,0.001,4.434096,0.001,0.733879,0.360963,0.001,4.434096,0.001,0.360963,0.001,0.733879,3.641048,1.0
-2593.299861,0.076765,0.051376,0.031905,0.106142,0.11163,0.100214,0.169901,0.091721,0.121983,0.138362,0.001,0.001,0.001,4.915853,0.001,9.257121,0.001,0.001,0.001,0.001,0.001,4.915853,0.001,0.001,1.0,13.524567,0.001,0.001,0.001,0.001,0.001,1.0,0.001,0.76279,0.001,0.001,9.257121,0.001,13.524567,0.76279,1.0,13.524567,0.001,9.257121,0.001,0.76279,4.915853,0.001,9.257121,0.001,4.915853,0.001,0.76279,13.524567,1.0
