nll,pi_aa,pi_cc,pi_gg,pi_tt,pi_ac,pi_ag,pi_at,pi_cg,pi_ct,pi_gt,s_0,s_1,s_2,s_3,s_4,s_5
2621.726819080959,0.10396,0.05096,0.02101,0.09094,0.12398999999999999,0.133,0.16804,0.09698,0.10708000000000001,0.10404,2.2159045623801226,0.4811785767114599,6.305268210261438,1.9292808829530268,8.199794532023207,0.9998241983220792
2556.5883634565153,0.06899,0.045,0.04702,0.08196,0.12299,0.12101,0.19107000000000002,0.08397,0.12297,0.11502,3.859980562172034,1.0000005797813716e-08,8.187419513263277,2.1449352172982716,4.856182993858084,0.5461795926595177
2637.796257251721,0.08709,0.03798,0.04899,0.087,0.127,0.114,0.1689,0.086,0.10200000000000001,0.14104,1.9785963730404679,9.999998244979259e-09,6.9265764302191135,0.5857039557365296,9.180005318316425,1.3504074869570692
2600.66391435631,0.07802,0.041,0.04101,0.10099,0.10893,0.12111,0.15598,0.09204,0.12605,0.13487,2.228001367267516,0.535414461291369,7.576335004614556,1.9427408302140197,5.6653414314768415,1.9638396047901645
2671.936112999281,0.07309,0.03606,0.05401,0.098,0.11203,0.13502,0.17891,0.08398,0.10088,0.12802,1.925633372084647,0.8104488032820591,7.09565929860736,1.6869189322607538,7.662707861492026,1.15318729699255
2665.152188742724,0.09008,0.047,0.03501,0.09407,0.10702,0.11804,0.14787,0.09499,0.13591,0.13001000000000001,1.3555196519443728,0.9427525450903311,7.672915308443885,2.18490417866425,5.273618480963427,2.6477936898586787
2577.3569084070637,0.07501,0.033,0.04001,0.10197,0.13297,0.11396,0.16907,0.077,0.11898,0.13802999999999999,2.82707496922358,0.5222169797958334,7.137810983698878,0.6571157017003313,5.952344158487491,2.0291388219952196
2506.97793429059,0.103,0.04301,0.04001,0.09595,0.11299000000000001,0.11097,0.17504999999999998,0.09097,0.11102,0.11703,0.689299263242863,9.999909739187021e-09,8.592094674607699,1.9364129580696694,7.000040377708197,1.4228085027469046
2595.1304262210115,0.07699,0.04901,0.03199,0.10494,0.11204,0.10103000000000001,0.16903,0.093,0.121,0.14096999999999998,3.2590829942330215,1.0000085169509635e-08,6.092691532988231,0.662002239375676,8.927989062761029,0.49906721843954954
2686.0597354632678,0.07903,0.047,0.042,0.09395,0.12997,0.11804,0.17699,0.08993,0.1051,0.11799,2.573339664997703,0.41781584259034177,6.745209467959654,1.0928860741586977,8.100771853342373,0.8434277028452057
2685.048724368003,0.07697,0.05096,0.046,0.09899,0.10607,0.11295,0.17697000000000002,0.08998999999999999,0.10908999999999999,0.13201000000000002,1.856163061744786,0.42630577468939673,5.558289324647311,5.125955316481872,8.507525729645728,1.0000017833856336e-08
2728.1492053418383,0.08297,0.04303,0.04199,0.07405,0.12299,0.129,0.17097,0.09698,0.11596999999999999,0.12205,1.8012213188589212,0.3518519182021396,4.855419642559816,1.3495064225417235,12.250675491039006,1.0000028896436452e-08
2627.55160033865,0.08301,0.03699,0.049,0.09301,0.10600000000000001,0.12297,0.16896,0.08697,0.11404,0.13905,3.731431111529146,1.000017274618486e-08,6.940138109496459,1.2473241488877864,6.084500933306348,2.252973393223635
2667.1249099565885,0.10003,0.04301,0.04599,0.08693,0.10495,0.12098,0.17802,0.08001,0.10906,0.13102,2.310822713516284,1.0000061581449269e-08,7.082769007065492,1.7915109269967073,8.470739305218995,0.8558783767969155
2681.3361781368276,0.083,0.03899,0.03502,0.08385,0.12203,0.12897,0.19393,0.07697999999999999,0.12403,0.1132,3.4778492717601854,0.8096358899471434,7.599063872750188,1.5932610543205548,4.754566049909237,0.7828697814905855
2625.2217049852875,0.098,0.04001,0.04599,0.09099,0.11606,0.11296999999999999,0.18402000000000002,0.082,0.12394,0.10602,2.3624009961276853,1.0017769302937014,5.574278288734187,2.0478169192412548,7.85972963936235,1.4999599467967044
2524.408723355849,0.06902,0.04396,0.046,0.08409,0.11405,0.10796,0.19090000000000001,0.10200999999999999,0.10296,0.13905,2.626275873747842,0.5680100265074914,8.68515351891897,1.0000279182338863e-08,6.958161250283428,0.5838576143261127
2695.9021548887995,0.09386,0.04104,0.034,0.10203,0.10005,0.13602,0.17310999999999999,0.07703,0.10991000000000001,0.13295,3.06414556796703,0.782666591897387,6.286171792205339,2.2215560462934603,7.42446732591655,0.7525575689315072
2677.7668650950736,0.08299,0.03805,0.04599,0.1009,0.10397,0.12696,0.2,0.08905,0.10908000000000001,0.10300999999999999,1.2339955765908313,9.999958641171244e-09,5.239704250493514,1.1837308315294315,10.458447599891086,2.254021632631483
2606.8179370231283,0.09903,0.03705,0.04399,0.09988,0.11794,0.11503,0.17502,0.09702,0.10003000000000001,0.11501,3.115996838722551,1.0000038118010006e-08,7.3774117879377705,1.0000038118010006e-08,7.166245345145231,2.008267973990413
2543.774000105415,0.08802,0.03202,0.04601,0.091,0.11294,0.12597999999999998,0.16199999999999998,0.09298000000000001,0.13397,0.11507999999999999,9.999953759054297e-09,0.5886796341224849,7.844361973654848,0.7298866367111313,9.496456268752338,1.114160087517069
