nll,pi_aa,pi_ac,pi_ag,pi_at,pi_ca,pi_cc,pi_cg,pi_ct,pi_ga,pi_gc,pi_gg,pi_gt,pi_ta,pi_tc,pi_tg,pi_tt,s_0,s_1,s_2,s_3,s_4,s_5
31874.995928146873,0.08299,0.04703,0.06198,0.09593,0.05694,0.03805,0.04707,0.05305,0.06498,0.04198,0.04599,0.05302,0.10407,0.05603,0.04999,0.1009,4.725666174802615,0.6855342631823205,0.0,0.22126379565351842,2.186274760724435,0.8838558715528659
35291.05001922093,0.09903,0.06897,0.05202,0.09002,0.04897,0.03705,0.03901,0.03802,0.06301,0.05801,0.04399,0.05399,0.085,0.06201,0.06102,0.09988,6.1651928511000795,0.7854582857722134,1.0294238311723634e-10,1.0294238311723634e-10,1.5191221407611166,1.0294238311723634e-10
34527.11895361008,0.08802,0.05099,0.06498,0.08596,0.06195,0.03202,0.04201,0.06099,0.061,0.05097,0.04601,0.05803,0.07604,0.07298,0.05705,0.091,6.652583624690008,0.4204870489687161,0.0,0.0,1.4453800057414723,0.0
35267.091791265266,0.0939,0.072,0.05003,0.08704,0.046,0.03806,0.03698,0.06297,0.057,0.04697,0.04902,0.06001,0.09805,0.06197,0.05402,0.08598,4.883360429693355,0.2656387340495479,0.0,0.0,2.438132616363512,0.7226806408477424
36083.78647874226,0.085,0.04798,0.06997,0.09192,0.058,0.04503,0.05799,0.05006,0.056,0.05198,0.03702,0.05702,0.083,0.057,0.07603,0.076,4.481300544149455,0.283027792509635,0.0,0.0,2.1521009612654667,1.4161620280827611
38587.27177391802,0.09099,0.07096,0.059,0.06705,0.059,0.03297,0.04002,0.05895,0.07699,0.04002,0.05301,0.06198,0.07501,0.06299,0.065,0.08606,6.491278210290831,0.0,0.0,0.0,2.1254696626918395,0.0
37089.13690537232,0.09292,0.06302,0.05799,0.07598,0.06001,0.03902,0.02701,0.06699,0.07401,0.05305,0.033,0.06993,0.07799,0.06501,0.05201,0.09206,4.725889921122278,0.23780620260996715,0.0,0.0,2.272308582420854,0.9555015046809272
37622.46447214169,0.08697,0.06004,0.07802,0.08602,0.05698,0.02701,0.02998,0.059,0.068,0.04697,0.05096,0.06502,0.07304,0.05696,0.06803,0.087,4.789723465946964,0.6955453737463575,0.0,0.0,2.508403508005048,0.8993725092944808
35741.605559261574,0.08598,0.04799,0.06299,0.08001,0.06601,0.04402,0.04197,0.06803,0.05502,0.04601,0.037,0.06296,0.09598,0.06093,0.06006,0.08504,5.044457009680883,0.4391781439061849,0.0,0.2802450450421601,1.6981562990341512,0.8246663492624238
37957.28559094555,0.09298,0.05401,0.05198,0.09202,0.05601,0.03898,0.05205,0.06398,0.04902,0.03601,0.04003,0.06697,0.09401,0.05101,0.07601,0.08493,5.778058544366734,0.7935010999962383,1.0802872736695966e-10,1.0802872736695966e-10,1.104308045306369,0.8974509998528929
37378.91508067904,0.08015,0.06502,0.05998,0.08709,0.05806,0.046,0.04898,0.05697,0.06304,0.03602,0.03997,0.06296,0.09186,0.046,0.06202,0.09588,5.1079734042995515,0.9284059815367417,0.18869416783730952,0.0,2.0902960757888183,0.0
35321.05612633255,0.10204,0.05501,0.06616,0.0871,0.04705,0.04202,0.03698,0.06994,0.06299,0.03597,0.043,0.06302,0.07998,0.05695,0.06785,0.08394,5.1034073796039126,0.521571689418259,0.0,0.18524813297324977,1.7113454717536587,1.049011890534812
35230.53918830847,0.07908,0.05496,0.06801,0.08222,0.05098,0.03904,0.04739,0.06089,0.06097,0.04601,0.046,0.07001,0.09394,0.05997,0.05657,0.08396,5.552179600067092,0.0,0.0,0.0,2.120997942005362,0.9260196261569742
34272.103346205884,0.10308,0.06421,0.05802,0.09494,0.05708,0.04997,0.039,0.05703,0.05398,0.04099,0.043,0.04603,0.08391,0.04383,0.05899,0.10594,5.469051409733488,0.44294457593628284,1.309620848834155e-10,0.28942384258510034,2.046369470305587,1.309620848834155e-10
34789.02677479785,0.08105,0.04801,0.06999,0.08315,0.05902,0.03198,0.051,0.05201,0.06802,0.042,0.033,0.067,0.08898,0.07,0.05501,0.09978,5.937777094016647,0.3660787572927717,0.0,0.0,1.7427814268870148,0.6560999307051657
37212.28833777132,0.08802,0.064,0.05902,0.0671,0.04897,0.04604,0.042,0.06201,0.06404,0.04396,0.04099,0.069,0.07999,0.07396,0.06498,0.08592,4.899227041745741,0.6554439505091831,0.21666624177272995,0.0,1.7710063536139604,0.6309752692056643
33911.29217954085,0.07404,0.05201,0.06002,0.11013,0.05702,0.04314,0.04896,0.0649,0.06201,0.0399,0.03804,0.05498,0.07796,0.06998,0.05897,0.08794,5.199510934972828,9.976152144779175e-11,9.976152144779175e-11,0.24085294992627304,2.8179158005683678,9.976152144779175e-11
37679.67706845848,0.08207,0.07,0.05515,0.08807,0.055,0.03505,0.03599,0.04491,0.06799,0.04001,0.04104,0.05898,0.09406,0.0569,0.0658,0.10898,5.997229574291052,0.0,0.0,0.0,2.8697439510391187,0.0
39802.07873515306,0.07404,0.05405,0.06249,0.10494,0.06108,0.03597,0.03339,0.06796,0.06304,0.02901,0.031,0.05999,0.08793,0.05499,0.09012,0.09,4.898293838038294,0.3557951856408512,0.0,0.17835037295605782,2.141724679606913,1.2169353039292201
37313.91455178586,0.07803,0.05804,0.05898,0.08897,0.05601,0.03798,0.04994,0.05802,0.041,0.03803,0.04799,0.07097,0.09102,0.07198,0.06304,0.09,6.511564751231731,1.0477879197319139e-10,1.0477879197319139e-10,1.0477879197319139e-10,1.146464859397365,0.9463291577121786
35923.95828850225,0.08403,0.05471,0.07213,0.08931,0.07063,0.03801,0.038,0.06596,0.063,0.045,0.04298,0.05502,0.07439,0.053,0.05788,0.09595,1.347887726460229,1.3478876587798339,1.347887322335661,1.3478871199488556,1.3478879631387186,1.3478872529704382
38855.7358761152,0.09201,0.06203,0.05901,0.08597,0.06659,0.04295,0.03597,0.06105,0.06302,0.03801,0.041,0.06502,0.08736,0.058,0.06602,0.07599,5.3774854927579625,0.38764471885946933,0.0,0.0,1.3886563803390108,1.0428662905796573
35958.50683945489,0.08307,0.06674,0.06601,0.09227,0.04999,0.041,0.03801,0.06803,0.053,0.03501,0.04601,0.071,0.10194,0.05302,0.05097,0.08393,6.031713397087115,0.0,0.0,0.0,1.3355094375050727,1.1001630498101689
37747.5881453819,0.08607,0.06498,0.05799,0.094,0.06002,0.04299,0.03001,0.06201,0.05307,0.03201,0.05203,0.06492,0.08497,0.051,0.06196,0.10197,5.818621311760797,0.47709462494967986,1.1487784190553573e-10,1.1487784190553573e-10,2.362696139778091,1.1487784190553573e-10
32480.734534895975,0.082,0.05096,0.07063,0.07801,0.04499,0.05,0.05498,0.06501,0.05597,0.04299,0.04001,0.05804,0.08301,0.06608,0.05938,0.09794,5.719499433105117,0.8145303753585891,1.0528356135026731e-10,1.0528356135026731e-10,1.8682895479475616,1.0528356275595264e-10
34971.76527968058,0.11309,0.05102,0.05201,0.08896,0.059,0.0389,0.04501,0.05201,0.065,0.04214,0.043,0.05799,0.08489,0.07094,0.06299,0.07305,5.531411815744956,1.2847144017184372e-10,1.2847144017184372e-10,0.2970231690562726,2.5457379363266064,1.2847144017184372e-10
38529.98869246613,0.08499,0.05503,0.05997,0.08395,0.06107,0.03401,0.04301,0.06955,0.04999,0.04799,0.02903,0.08303,0.07007,0.07598,0.05798,0.09435,5.828752459906535,0.0,0.0,0.3011082548091465,1.4088332396429066,0.9047384515582255
36172.47548596418,0.08099,0.048,0.06601,0.10207,0.05699,0.04103,0.03899,0.05103,0.07002,0.04498,0.033,0.06703,0.09198,0.05194,0.06703,0.08891,5.91136072901798,0.3551017609592217,0.0,0.0,2.59521798874616,0.0
