nll,pi_aa,pi_cc,pi_gg,pi_tt,pi_ac,pi_ag,pi_at,pi_cg,pi_ct,pi_gt,s_0,s_1,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s_9,s_10,s_11,s_12,s_13,s_14,s_15,s_16,s_17,s_18,s_19,s_20,s_21,s_22,s_23
27564.575928667502,0.089185,0.037909,0.039203,0.089601,0.123358,0.125395,0.176513,0.081295,0.121435,0.116106,1.324644179318496,0.3272561608319716,7.628653689255279,3.449811953430406,3.509238122899763,16.29817724333619,0.37952061249614205,2.2698904189622935,2.807685817867565,8.61465701901295,10.223500526116018,1.7499322466228409,0.9448300551605167,5.390931188861374,0.1828157542295792,5.093274144620041,0.4953378385831747,2.4981142735801267,6.659469745941973,1.9465803230467538,9.996267595176917e-11,0.9234368982434057,7.460371030502831,0.5216644342908919
27459.80093968879,0.088781,0.04106,0.042495,0.085747,0.11592,0.12195700000000001,0.173707,0.085176,0.120831,0.12432599999999999,1.4558485182240914,0.5181690026804692,8.230302742456063,3.973273007956346,1.0631197947784794,14.951497287976483,1.0000102919437551e-10,4.200023278738473,2.465693374035411,8.059091034814658,8.879632709045232,2.1222498431633747,0.5324564161264653,6.739576121372331,1.0000102919437551e-10,5.917319546127207,1.4207489208407236,1.9835386578030216,5.09754160496043,1.9601957043290865,0.17330536176493658,1.995873460849923,5.852712931051401,0.7495672082234267
27307.84888763492,0.086491,0.039624,0.042199,0.088711,0.12184299999999999,0.12011,0.169707,0.083981,0.122,0.125334,2.580464169215251,0.37907662062423975,7.894536594939211,4.875010849146605,2.905260128120284,14.330025931150079,9.999230639551999e-11,2.767702315720653,4.403981773989275,6.651809325040985,10.594495712099656,3.315630704182637,0.6705610629220894,5.678564682533938,0.5743014560691653,5.653890736423145,0.5743674334407631,2.138519286678957,5.347459478898257,1.1331262428936948,9.999230639551999e-11,1.9129504934450536,7.227031271345851,1.0256703074345639
27221.577031685752,0.083898,0.040203,0.039694,0.091845,0.11661099999999999,0.12394,0.176865,0.080189,0.12073500000000001,0.12602000000000002,2.8147189243503146,0.5673431339088503,8.05949837513091,4.184986409760873,4.909678813832918,16.341111560099222,1.000977270425712e-10,3.6773396977656487,1.967803776840593,5.941781907846919,9.716891227501785,2.546149857981456,1.0907573012686924,6.292642346964837,0.21475978691187925,2.794000551456019,0.9792600139956984,1.9693870687129738,6.312679568798575,1.1933934229585965,0.17361939881362545,1.627140598799605,9.63554119527541,0.520035501096333
27529.12256581443,0.087101,0.037559,0.043697,0.089815,0.117511,0.12243599999999999,0.173495,0.08280399999999999,0.120315,0.12526700000000002,2.1799982578071346,0.3553546479796125,6.906273098604314,4.644620235696454,4.209636515560128,11.592990137696082,9.994050360589433e-11,2.5711285959674237,1.0069302318372226,8.521610704129593,11.378851389335244,1.4970634690080695,1.1759931334517535,5.029880731949694,0.1915097908841568,6.7061844488896165,1.1470107446245683,2.5911883375126803,5.346798824812873,1.880909623211997,0.2572572169379623,1.5002135331441147,6.83469785901417,1.1060468452101893
27008.06598402913,0.086193,0.043024,0.0434,0.087175,0.11678,0.11748600000000001,0.17446899999999999,0.085024,0.122778,0.123671,3.782276080676182,0.41791824930242716,6.466283724689199,3.3387419915495955,1.752926462258621,12.510667176211294,1.0025769685307555e-10,3.404775478530256,3.9474133170328134,8.694736907994123,10.461479943697986,1.190354213402025,1.2246305176489614,5.163786146583822,0.21272063769321103,5.428304927375974,1.1336218983700694,2.126095380309486,6.099749907633708,1.080250180719155,0.19765848080217102,0.4033888920939388,9.213824212664669,1.1085132681233123
27022.45826109289,0.083314,0.039389,0.042058,0.084483,0.115772,0.12310499999999999,0.177262,0.081838,0.124211,0.12856800000000002,2.1009405638152354,0.20068219814529556,6.640897127874737,1.3211878411264804,1.8898537731400642,14.016429766882869,9.997409241911991e-11,1.1694749660193329,4.123774963994222,7.8971976221907445,11.684714026375467,1.6764400158611126,1.0009126744118892,5.28171821136749,9.997409241911991e-11,6.08289585143947,0.7501433806278086,2.220618088977334,6.0327210836970275,1.7554987437374245,0.0894674197204387,2.2150370685288916,9.100962480196843,0.6371998807243363
27524.698484905923,0.084569,0.042299,0.040597,0.090184,0.115697,0.122198,0.180844,0.080711,0.121784,0.121117,2.6637680274803213,1.0010476119481561e-10,8.00808500857772,3.0256864992149444,3.316191769485616,13.250649593369056,1.0010476119481561e-10,2.2414362572744544,3.0372060338610862,6.8496168883611555,11.095139341419163,1.3595304930438232,0.788797210357987,5.271392290040442,0.19467145999075844,4.8958618567407015,0.9301754850351721,3.0333562382803616,5.555937972698162,1.6850771611171362,0.2543304179293509,1.5057820498820091,9.319048097059463,0.8709874477288239
27359.01394534077,0.084882,0.041476,0.039599,0.087271,0.11819299999999999,0.11971100000000001,0.17683,0.084486,0.121642,0.12591000000000002,3.411303377007391,0.5653392609219837,7.643998508731716,4.202836478128022,1.574862668421923,16.05667128223684,0.40468607480123225,1.1187768577666293,3.030915862261636,8.065011306961898,11.69078064053305,1.2107898609513263,0.40572977205053024,5.119306500485644,0.1887745549712472,6.506781113506162,0.987528581595458,2.430718652864148,3.6707792231300287,0.9725728314184807,0.0856450614694569,2.5965273817027046,8.044644168428196,0.7474113817268628
27332.487764321002,0.088642,0.04018,0.042994,0.088333,0.116839,0.116913,0.17543399999999998,0.080174,0.125263,0.125228,3.169800894644418,0.5563732557606935,7.560463006224521,3.702100017928708,1.811057704720414,17.214958173142147,0.37578239825685356,2.752396375103222,2.178740421018543,9.795997259174985,11.601823489862303,2.2674738023579755,0.562631852579397,4.719462021019163,1.0002417431599921e-10,4.100702205407857,1.129836675793092,2.676213428731143,4.35188616617427,1.0582462350428563,0.17446775266792902,1.731582030164257,7.477186486143771,0.6149784246352401
